,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
0,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3-1/2"" ANG",21287.254999999997,2008.0,880.9919999999998,922.0
1,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5"" FLT",5544.3449999999975,0.0,197.17000000000002,140.0
2,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2 X 1"" CHN",5.008,0.0,14.607,6.0
3,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"15"" CHN",156.61800000000002,0.0,0.0,9.0
4,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6 X 3-1/2"" ANG",17769.577999999998,-17.0,376.06999999999994,501.0
5,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6 X 4"" ANG",28130.944999999996,0.0,730.086,887.0
6,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1"" FLT",5.304,0.0,12.608,3.0
7,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6"" ANG",12265.339000000007,0.0,370.082,536.0
8,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"12"" CHN",1768.8359999999989,0.0,100.4075,134.0
9,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6"" CHN",36052.20900000001,1367.0,1082.5045,1244.0
10,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6"" FLT",19058.463000000003,0.0,564.671,647.0
11,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"10"" FLT",1462.4559999999994,0.0,48.49249999999999,83.0
12,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"7 X 4"" ANG",164.79799999999992,0.0,0.0,10.0
13,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"10"" CHN",18977.707,841.0,863.9220000000001,793.0
14,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2"" ANG",66.50700000000002,0.0,0.0,0.0
15,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"7"" CHN",14606.698000000008,0.0,233.90399999999997,199.0
16,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1/2"" SQR",0.0,0.0,7.57,0.0
17,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8 X 4"" ANG",28.224,0.0,0.0,14.0
18,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,PR 3/8,2.0,0.0,2.0,2.0
19,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8 X 6"" ANG",975.1999999999999,0.0,36.8,62.0
20,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1-2"" LRG FLT",5.104,0.0,4.9385,3.0
21,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8"" CHN",20804.557000000004,1232.0,1160.7099999999998,867.0
22,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8"" FLT",13949.53400000001,841.0,592.6635,622.0
23,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1-1/4"" FLT",0.0,0.0,2.479,0.0
24,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"9"" CHN",722.0160000000003,0.0,17.64,49.0
25,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"9"" FLT",259.34100000000007,0.0,17.43,12.0
26,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,MC10X8.4,112.89599999999997,0.0,15.852,16.0
27,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,MC12X10.6,657.2000000000004,0.0,21.200000000000003,47.0
28,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,PR 1/4,0.0,0.0,2.001,0.0
29,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"7"" FLT",16995.859000000008,0.0,237.9075,372.0
30,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5"" CHN",8342.358,907.0,512.4,421.0
31,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"12"" FLT",1064.7780000000002,0.0,64.677,84.0
32,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1"" SB FLT",15.392,0.0,52.382,31.0
33,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3/8"" SQR",0.0,0.0,0.0,3.0
34,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3"" ANG",16281.508000000003,1079.0,626.0264999999999,817.0
35,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4"" ANG",58497.40199999996,3608.0,1756.5530000000003,2322.0
36,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3/4"" SQR",0.0,0.0,0.0,2.0
37,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3"" ANG",17910.628000000004,0.0,592.585,614.0
38,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4-1/2"" FLT",45.80900000000001,0.0,0.0,0.0
39,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2"" FLT",15.3,0.0,15.725,26.0
40,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4"" FLT",66.606,0.0,20.094,42.0
41,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3-1/2"" ANG",31468.726000000006,21.0,787.1479999999998,785.0
42,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3-1/2"" ANG",1387.3090000000007,0.0,52.93099999999999,85.0
43,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3"" FLT",24.378,0.0,15.608,12.0
44,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5"" ANG",13213.48999999999,0.0,377.88599999999997,396.0
45,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2-1/2"" ANG",0.4200000000000001,0.0,0.0,0.0
46,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3-1/2"" FLT",5.084,0.0,7.4990000000000006,11.0
47,2016-01-31,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"2"" MED FLT",0.0,0.0,20.104,3.0
48,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"8 X 4"" ANG",249.3119999999999,0.0,4.5,14.0
