,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
0,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"3-1/2"" ANG",207.26099999999997,0.0,0.0,0.0
1,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"9"" CHN",43.296,0.0,0.0,0.0
2,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8 X 4"" ANG",14.112,0.0,0.0,0.0
3,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6"" CHN",1857.9969999999998,0.0,0.0,0.0
4,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3"" ANG",472.99,0.0,0.0,0.0
5,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3-1/2"" ANG",1888.34,0.0,0.0,0.0
6,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"6"" FLT",1102.054,0.0,2.244,0.0
7,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8"" FLT",867.865,0.0,2.244,0.0
8,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"5 X 3"" ANG",1172.033,0.0,0.0,0.0
9,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"8"" CHN",958.505,0.0,0.0,0.0
10,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"1-2"" LRG FLT",0.0,0.0,4.9385,0.0
11,2016-01-03,2016,1,0.66,1583.0,16684.0,204300.0,30800.0,175300.0,38700.0,48.2,53.5,180.0,"4 X 3-1/2"" ANG",60.757999999999996,0.0,0.0,0.0
