sku,work_center
106019021,25000002
106019091,25000002
106019108,25000002
106019109,25000002
106019110,25000002
106019111,25000002
106019112,25000002
106019113,25000002
106019114,25000002
106019116,25000002
106019117,25000002
106019119,25000002
106019120,25000001
106019121,25000001
106019122,25000001
106019123,25000002
106019124,25000002
106019125,25000002
106019126,25000002
106019127,25000002
106019128,25000001
106019129,25000002
106019130,25000002
106019131,25000002
106019132,25000002
106019133,25000001
106019135,25000002
106019136,25000001
106019137,25000001
106019138,25000001
106019139,25000001
106019140,25000001
106019141,25000001
106019142,25000001
106019143,25000001
106019144,25000001
106019145,25000001
106019146,25000001
106019147,25000001
106019148,25000001
106019149,25000001
106019150,25000001
106019151,25000001
106019152,25000001
106019153,25000001
106019154,25000001
106019155,25000001
106019156,25000001
106019157,25000001
106019158,25000001
106019160,25000001
106019161,25000001
106019162,25000001
106019164,25000001
106019165,25000001
106019166,25000001
106019167,25000001
106019168,25000001
106019170,25000001
106019171,25000001
106019173,25000001
106019174,25000001
106019175,25000001
106019176,25000001
106019177,25000001
106019178,25000001
106019179,25000001
106019180,25000001
106019181,25000001
106019182,25000001
106019183,25000001
106019184,25000001
106019185,25000001
106019186,25000001
106019187,25000001
106019188,25000001
106019190,25000001
106019196,25000001
106019248,25000001
106019494,25000001
106019495,25000001
106019496,25000001
106019497,25000001
106019498,25000001
106019499,25000001
106019500,25000001
106019501,25000001
106019502,25000001
106019503,25000001
106019504,25000001
106019505,25000001
106019506,25000001
106019507,25000001
106019508,25000001
106019509,25000001
106019510,25000001
106019511,25000001
106019512,25000001
106019514,25000001
106019515,25000001
106019517,25000001
106019518,25000001
106019519,25000001
106019520,25000001
106019521,25000001
106019522,25000002
106019523,25000001
106019524,25000002
106019525,25000002
106019526,25000002
106019527,25000002
106019528,25000002
106019529,25000001
106019530,25000001
106019531,25000001
106019532,25000001
106019533,25000001
106019534,25000001
106019535,25000001
106019536,25000001
106019537,25000001
106019538,25000001
106019539,25000001
106019540,25000001
106019541,25000001
106019542,25000001
106019543,25000001
106019544,25000001
106019545,25000001
106019546,25000001
106019548,25000001
106019549,25000001
106019550,25000001
106019598,25000002
106019599,25000002
106019600,25000002
106019601,25000002
106019602,25000002
106019603,25000002
106019604,25000002
106019605,25000002
106019606,25000002
106019607,25000002
106019608,25000002
106019609,25000002
